rank,title,author,weeks_on_list
5,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",16
1,THE HELP,Kathryn Stockett,41
2,THE LOST SYMBOL,Dan Brown,17
3,NOAH’S COMPASS,Anne Tyler,1
4,IMPACT,Douglas Preston,1
5,CROSS FIRE,James Patterson,8
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,13
2,THE STAND: AMERICAN NIGHTMARES,Roberto Aguirre-Sacasa and Mike Perkins,1
3,BATMAN: BATTLE FOR THE COWL,Tony Daniel,7
4,DARK TOWER: TREACHERY,Peter David and Robin Furth,16
5,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,7
1,COMMITTED,Elizabeth Gilbert,1
2,HAVE A LITTLE FAITH,Mitch Albom,15
3,THE CHECKLIST MANIFESTO,Atul Gawande,1
4,GOING ROGUE,Sarah Palin,8
5,STONES INTO SCHOOLS,Greg Mortenson,6
1,"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi,1
2,"VAMPIRE KNIGHT, VOL. 8",Matsuri Hino,10
3,NARUTO 46,Masashi Kishimoto,15
4,"MAXIMUM RIDE, VOL. 2",James Patterson and NaRae Lee,11
5,"VAMPIRE KNIGHT, VOL. 7",Matsuri Hino,13
1,THE DEVIL’S PUNCHBOWL,Greg Iles,2
2,DEAR JOHN,Nicholas Sparks,7
3,THE LOVELY BONES,Alice Sebold,14
4,PLUM SPOOKY,Janet Evanovich,2
5,STREET GAME,Christine Feehan,2
1,FOOD RULES,"Michael Pollan,",2
2,FLAT BELLY DIET!,Liz Vaccariello and Cynthia Sass,2
3,"START OVER, FINISH RICH",David Bach,2
4,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,442
5,THE COUPON MOM'S GUIDE TO CUTTING YOUR GROCERY BILLS IN HALF,Stephanie Nelson,1
1,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike,1
2,THE BOOK THIEF,Markus Zusak,122
3,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,51
4,THIRST NO. 1,Christopher Pike,23
5,L.A. CANDY,Lauren Conrad,1
1,"THE WALKING DEAD, VOL. 11",Robert Kirkman and Charlie Adlard,1
2,WATCHMEN,Alan Moore and Dave Gibbons,46
3,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks,14
4,"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore,12
5,V FOR VENDETTA,Alan Moore and David Lloyd,41
1,THE BLIND SIDE,Michael Lewis,15
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,154
3,"EAT, PRAY, LOVE",Elizabeth Gilbert,153
4,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,2
5,I HOPE THEY SERVE BEER IN HELL,Tucker Max,119
1,LEGO STAR WARS,Simon Beecroft,13
2,WADDLE!,Rufus Butler Seder,17
3,"SKIPPYJON JONES, LOST IN SPICE",Judy Schachner,17
4,GALLOP!,Rufus Butler Seder,103
5,THE LION AND THE MOUSE,Jerry Pinkney,10
1,THE TWILIGHT SAGA,Stephenie Meyer,127
2,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,131
3,DIARY OF A WIMPY KID,Jeff Kinney,52
4,HOUSE OF NIGHT,PC Cast and Kristin Cast,72
5,RANGER’S APPRENTICE,John Flanagan,34
1,THE LOVELY BONES,Alice Sebold,17
2,A RELIABLE WIFE,Robert Goolrick,1
3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,29
4,PUSH,Sapphire,20
5,OLIVE KITTERIDGE,Elizabeth Strout,38
1,WITCH AND WIZARD,James Patterson and Gabrielle Charbonnet,5
2,CATCHING FIRE,Suzanne Collins,20
3,THE HUNGER GAMES,Suzanne Collins,71
4,FALLEN,Lauren Kate,6
5,BEAUTIFUL CREATURES,Kami Garcia and Margaret Stohl,7
1,THE MAYO CLINIC DIET,the Mayo Clinic staff,2
2,THE HAPPINESS PROJECT,Gretchen Rubin,3
3,YOU: THE OWNER’S MANUAL FOR TEENS,"Michael F Roizen, Mehmet C Oz and Ellen Rome",35
4,THE FULL PLATE DIET,"Stuart A Seale, Teresa Sherard and Diana Fleming",2
5,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",17
1,THE HELP,Kathryn Stockett,42
2,THE FIRST RULE,Robert Crais,1
3,THE LOST SYMBOL,Dan Brown,18
4,THE SWAN THIEVES,Elizabeth Kostova,1
5,THE LAST SONG,Nicholas Sparks,19
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,14
2,BATMAN: BATTLE FOR THE COWL,Tony Daniel,8
3,THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young,18
4,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,8
5,THE STAND: CAPTAIN TRIPS,Roberto Aguirre-Sacasa and Mike Perkins,1
1,GAME CHANGE,John Heilemann and Mark Halperin,1
2,COMMITTED,Elizabeth Gilbert,2
3,HAVE A LITTLE FAITH,Mitch Albom,16
4,GOING ROGUE,Sarah Palin,9
5,STONES INTO SCHOOLS,Greg Mortenson,7
1,"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi,1
2,NARUTO 46,Masashi Kishimoto,16
3,"VAMPIRE KNIGHT, VOL. 8",Matsuri Hino,11
4,"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa,1
5,"MAXIMUM RIDE, VOL. 2",James Patterson and NaRae Lee,12
1,DEAR JOHN,Nicholas Sparks,8
2,THE LOVELY BONES,Alice Sebold,15
3,THE DEVIL’S PUNCHBOWL,Greg Iles,3
4,PLUM SPOOKY,Janet Evanovich,3
5,STREET GAME,Christine Feehan,3
1,FOOD RULES,"Michael Pollan,",3
2,WOMEN AND MONEY,Suze Orman,2
3,FLAT BELLY DIET!,Liz Vaccariello and Cynthia Sass,3
4,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,443
5,THE LOVE DARE,Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough,69
1,THE BOOK THIEF,Markus Zusak,123
2,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike,2
3,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,52
4,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie,41
5,L.A. CANDY,Lauren Conrad,2
1,WATCHMEN,Alan Moore and Dave Gibbons,47
2,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks,15
3,"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman,2
4,"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore,13
5,"CHEW, VOL. 1",John Layman and Rob Guillory,2
1,THE BLIND SIDE,Michael Lewis,16
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,155
3,"EAT, PRAY, LOVE",Elizabeth Gilbert,154
4,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,3
5,THE GLASS CASTLE,Jeannette Walls,161
1,LEGO STAR WARS,Simon Beecroft,14
2,WADDLE!,Rufus Butler Seder,18
3,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth,44
4,FAMILY HUDDLE,"written  Peyton Manning, Eli Manning and Archie Manning   Jim Madsen",2
5,THE LION AND THE MOUSE,Jerry Pinkney,11
1,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,132
2,THE TWILIGHT SAGA,Stephenie Meyer,128
3,DIARY OF A WIMPY KID,Jeff Kinney,53
4,HOUSE OF NIGHT,PC Cast and Kristin Cast,73
5,MAGIC TREE HOUSE,Mary Pope Osborne,215
1,A RELIABLE WIFE,Robert Goolrick,2
2,THE LOVELY BONES,Alice Sebold,18
3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,30
4,DEAR JOHN,Nicholas Sparks,19
5,TRUE COLORS,Kristin Hannah,2
1,CATCHING FIRE,Suzanne Collins,21
2,THE HUNGER GAMES,Suzanne Collins,72
3,PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE),Mary-Jane Knight Designed  Philip Chidlow,1
4,FALLEN,Lauren Kate,7
5,WHEN YOU REACH ME,Rebecca Stead,10
1,THE HAPPINESS PROJECT,Gretchen Rubin,4
2,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",18
3,THE MAYO CLINIC DIET,the Mayo Clinic staff,3
4,THE FULL PLATE DIET,"Stuart A Seale, Teresa Sherard and Diana Fleming",3
5,MASTER YOUR METABOLISM,Jillian Michaels with Mariska van Aalst,29
1,THE HELP,Kathryn Stockett,43
2,KISSER,Stuart Woods,1
3,THE LOST SYMBOL,Dan Brown,19
4,THE BURNING LAND,Bernard Cornwell,1
5,THE FIRST RULE,Robert Crais,2
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,15
2,BATMAN: BATTLE FOR THE COWL,Tony Daniel,9
3,THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young,19
4,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,9
5,BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland,46
1,GAME CHANGE,John Heilemann and Mark Halperin,2
2,COMMITTED,Elizabeth Gilbert,3
3,STONES INTO SCHOOLS,Greg Mortenson,8
4,HAVE A LITTLE FAITH,Mitch Albom,17
5,GOING ROGUE,Sarah Palin,10
1,"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa,2
2,"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi,2
3,NARUTO 46,Masashi Kishimoto,17
