rank,title,author,weeks_on_list
1,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
2,JUST MERCY,Bryan Stevenson,0
3,THE NEW JIM CROW,Michelle Alexander,0
4,THE OTHER WES MOORE,Wes Moore,0
5,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs,0
1,WHY NOT ME?,Mindy Kaling,0
2,THE FIVE LOVE LANGUAGES,Gary Chapman,0
3,MODERN ROMANCE,Aziz Ansari with Eric Klinenberg,0
4,DARING GREATLY,Brené Brown,0
5,F*CK FEELINGS,Michael I Bennett and Sarah Bennett,0
1,THE POWER OF I AM,Joel Osteen,0
2,THE WITCHES,Stacy Schiff,0
3,FERVENT,Priscilla Shirer,0
4,THE FOUR AGREEMENTS,Don Miguel Ruiz,0
5,FOR THE LOVE,Jen Hatmaker,0
1,DORK DIARIES,Rachel Renée Russell,139
2,HARRY POTTER,JK Rowling,344
3,MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,5
4,THE TWILIGHT SAGA,Stephenie Meyer,222
5,THE MAZE RUNNER,James Dashner,159
1,THE MARTIAN,Andy Weir,52
2,THE ALCHEMIST,Paulo Coelho,377
3,MEMORY MAN,David Baldacci,6
4,ROOM,Emma Donoghue,39
5,GREY,E L James,19
1,HUMANS OF NEW YORK: STORIES,Brandon Stanton,0
2,A WALK IN THE WOODS,Bill Bryson,0
3,DEEP SOUTH,Paul Theroux,0
4,WILD,Cheryl Strayed,0
5,MY SOUTHERN JOURNEY,Rick Bragg,0
1,THE AMAZING BOOK IS NOT ON FIRE,Dan Howell and Phil Lester,2
2,CARRY ON,Rainbow Rowell,3
3,GIRL ONLINE: ON TOUR,Zoe Sugg,1
4,THE ROSE SOCIETY,Marie Lu,2
5,ILLUMINAE,Amie Kaufman and Jay Kristoff,1
1,DO UNTO ANIMALS,Tracey Stewart,0
2,ANIMAL WISE,Virginia Morell,0
3,THE HORSE,Wendy Williams,0
4,BEYOND WORDS,Carl Safina,0
5,THE DOGIST,Elias Weiss Friedman,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,M TRAIN,Patti Smith,0
4,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
5,FURIOUSLY HAPPY,Jenny Lawson,0
1,THE SWORD OF SUMMER,Rick Riordan,4
2,WONDER,RJ Palacio,12
3,THE ISLE OF THE LOST,Melissa de la Cruz,11
4,AUGGIE & ME,RJ Palacio,11
5,CRENSHAW,Katherine Applegate,6
1,ROGUE LAWYER,John Grisham,2
2,DEPRAVED HEART,Patricia Cornwell,1
3,SEE ME,Nicholas Sparks,3
4,THE MARTIAN,Andy Weir,23
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,6
2,THE WITCHES,Stacy Schiff,1
3,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,2
4,GOVERNMENT ZERO,Michael Savage,1
5,A MORE PERFECT UNION,Ben Carson with Candy Carson,4
1,THE DEVIL IN THE WHITE CITY,Erik Larson,0
2,NOTORIOUS RBG,Irin Carmon and Shana Knizhnik,0
3,BLACK MASS,Dick Lehr and Gerald O'Neill,0
4,JUST MERCY,Bryan Stevenson,0
5,WORKING STIFF,Judy Melinek and T J Mitchell,0
1,M TRAIN,Patti Smith,0
2,MY LIFE ON THE ROAD,Gloria Steinem,0
3,THE ART OF MEMOIR,Mary Karr,0
4,THE RAP YEAR BOOK,Shea Serrano and Arturo Torres,0
5,RECLAIMING CONVERSATION,Sherry Turkle,0
1,ROGUE LAWYER,John Grisham,2
2,DEPRAVED HEART,Patricia Cornwell,1
3,WALK THROUGH FIRE,Kristen Ashley,1
5,DARKEST BEFORE DAWN,Maya Banks,1
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,6
2,THE WITCHES,Stacy Schiff,1
3,BRIDGE OF SPIES,Giles Whittell,1
4,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,2
5,WILDFLOWER,Drew Barrymore,1
1,I AM MALALA,Malala Yousafzai with Christina Lamb,0
2,HOW TO RAISE AN ADULT,Julie Lythcott-Haims,0
3,THE ORGANIZED MIND,Daniel J Levitin,0
4,FIND ME UNAFRAID,Kennedy Odede and Jessica Posner,0
5,BEYOND MEASURE,Vicki Abeles,0
1,BLACK MASS,Dick Lehr and Gerald O'Neill,0
2,100 DEADLY SKILLS,Clint Emerson,0
3,BRIDGE OF SPIES,Giles Whittell,0
4,THE DEVIL'S CHESSBOARD,David Talbot,0
1,THE WRIGHT BROTHERS,David McCullough,0
2,DEAD WAKE,Erik Larson,0
3,INTO THIN AIR,Jon Krakauer,0
4,INTO THE WILD,Jon Krakauer,0
5,THE INVENTION OF NATURE,Andrea Wulf,0
1,ROSEMARY,Kate Clifford Larson,0
2,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,0
3,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK,Adele Faber and Elaine Mazlish,0
4,GO THE -- TO SLEEP,Adam Mansbach,0
5,THE FIVE LOVE LANGUAGES OF CHILDREN,Gary D Chapman and Ross Campbell,0
1,I'LL NEVER WRITE MY MEMOIRS,Grace Jones as told to Paul Morley,0
2,STYLED,Emily Henderson and Angelin Borsics,0
3,FACE PAINT,Lisa Eldridge,0
4,POLISH YOUR POISE WITH MADAME CHIC,Jennifer L Scott,0
5,HOME,Ellen DeGeneres,0
1,THE PIONEER WOMAN COOKS: DINNERTIME,Ree Drummond,0
2,THE 20/20 DIET,Phil McGraw,0
3,THE WHOLE30,Melissa Hartwig and Dallas Hartwig,0
4,THE FOOD LAB,J Kenji Lopez-Alt,0
5,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
1,SECRET GARDEN,Johanna Basford,0
2,ENCHANTED FOREST,Johanna Basford,0
3,LOST OCEAN,Johanna Basford,0
4,CREATIVE HAVEN CREATIVE CATS COLORING BOOK,Marjorie Sarnat,0
5,THE OFFICIAL A GAME OF THRONES COLORING BOOK,various illustrators,0
1,ROGUE LAWYER,John Grisham,2
2,SEE ME,Nicholas Sparks,3
3,DEPRAVED HEART,Patricia Cornwell,1
4,A BANQUET OF CONSEQUENCES,Elizabeth George,1
5,THE SURVIVOR,Vince Flynn and Kyle Mills,4
1,THE MULTIVERSITY DELUXE EDITION,Grant Morrison and others,1
2,BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland,177
3,KILLING AND DYING,Adrian Tomine,4
4,GET JIRO: BLOOD AND SUSHI,"Anthony Bourdain, Joel Rose and Alé Garza",1
5,"STEP ASIDE, POPS",Kate Beaton,7
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,6
2,THE WITCHES,Stacy Schiff,1
3,GOVERNMENT ZERO,Michael Savage,1
4,EXTREME OWNERSHIP,Jocko Willink and Leif Babin,2
5,A MORE PERFECT UNION,Ben Carson with Candy Carson,4
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,0
2,A MORE PERFECT UNION,Ben Carson with Candy Carson,0
3,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
4,I AM MALALA,Malala Yousafzai with Christina Lamb,0
5,THE COURAGE TO ACT,Ben S Bernanke,0
1,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
2,FURIOUSLY HAPPY,Jenny Lawson,0
3,BEING MORTAL,Atul Gawande,0
4,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
5,THE BRAIN FOG FIX,Mike Dow,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,FURIOUSLY HAPPY,Jenny Lawson,0
4,YES PLEASE,Amy Poehler,0
5,SELP-HELF,Miranda Sings,0
1,BURY MY HEART AT WOUNDED KNEE,Dee Brown,0
2,THE HEART OF EVERYTHING THAT IS,Bob Drury and Tom Clavin,0
3,EMPIRE OF THE SUMMER MOON,SC Gwynne,0
4,BORN TO RUN,Christopher McDougall,0
5,CRAZY HORSE AND CUSTER,Stephen Ambrose,0
1,"TOKYO GHOUL, VOL. 3",Sui Ishida,2
2,"AKAME GA KILL!, VOL. 4",Takahiro and Tetsuya Tashiro,1
3,"TOKYO GHOUL, VOL. 1",Sui Ishida,20
4,JUNJI ITO’S CAT DIARY: YON AND MU,Junji Ito,1
5,"TOKYO GHOUL, VOL. 2",Sui Ishida,11
1,THE BURNING ROOM,Michael Connelly,1
2,THE MARTIAN,Andy Weir,11
3,COLD-HEARTED RAKE,Lisa Kleypas,1
4,GRAY MOUNTAIN,John Grisham,11
5,DEADLINE,John Sandford,4
1,"THE WALKING DEAD COMPENDIUM, VOL. 3",Robert Kirkman and Charlie Adlard,3
2,"THE WALKING DEAD COMPENDIUM, VOL. 1",Robert Kirkman and others,157
3,HEART AND BRAIN,Nick Seluk,2
4,"SAGA, VOL. 5",Brian K Vaughan and Fiona Staples,7
5,DRAMA,Raina Telgemeier,118
1,I AM MALALA,Malala Yousafzai with Christina Lamb,22
2,THE BOYS IN THE BOAT,Daniel James Brown,75
3,THE DEVIL IN THE WHITE CITY,Erik Larson,307
4,YES PLEASE,Amy Poehler,9
5,"THINKING, FAST AND SLOW",Daniel Kahneman,95
1,I REALLY LIKE SLOP!,Mo Willems,1
2,THE DAY THE CRAYONS CAME HOME,Drew Daywalt,11
3,THE DAY THE CRAYONS QUIT,Drew Daywalt,123
4,PETE THE CAT: FIVE LITTLE PUMPKINS,James Dean,9
5,WHAT PET SHOULD I GET?,Dr Seuss,14
1,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
2,JUST MERCY,Bryan Stevenson,0
3,THE NEW JIM CROW,Michelle Alexander,0
4,THE OTHER WES MOORE,Wes Moore,0
5,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs,0
1,WHY NOT ME?,Mindy Kaling,0
2,THE FIVE LOVE LANGUAGES,Gary Chapman,0
3,MODERN ROMANCE,Aziz Ansari with Eric Klinenberg,0
4,DARING GREATLY,Brené Brown,0
5,F*CK FEELINGS,Michael I Bennett and Sarah Bennett,0
1,THE POWER OF I AM,Joel Osteen,0
2,THE WITCHES,Stacy Schiff,0
3,FERVENT,Priscilla Shirer,0
4,THE FOUR AGREEMENTS,Don Miguel Ruiz,0
5,FOR THE LOVE,Jen Hatmaker,0
1,RUSH REVERE,Rush Limbaugh with Kathryn Adams Limbaugh,11
2,DORK DIARIES,Rachel Renée Russell,140
3,HARRY POTTER,JK Rowling,345
4,CONFESSIONS,James Patterson and Maxine Paetro,2
5,MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,6
1,THE MARTIAN,Andy Weir,53
2,THE ALCHEMIST,Paulo Coelho,378
3,A BRIEF HISTORY OF SEVEN KILLINGS,Marlon James,3
4,MEMORY MAN,David Baldacci,7
5,GREY,E L James,20
1,HUMANS OF NEW YORK: STORIES,Brandon Stanton,0
2,A WALK IN THE WOODS,Bill Bryson,0
3,DEEP SOUTH,Paul Theroux,0
4,WILD,Cheryl Strayed,0
5,MY SOUTHERN JOURNEY,Rick Bragg,0
1,THE AMAZING BOOK IS NOT ON FIRE,Dan Howell and Phil Lester,3
2,CARRY ON,Rainbow Rowell,4
3,GIRL ONLINE: ON TOUR,Zoe Sugg,2
4,THE ROSE SOCIETY,Marie Lu,3
5,SIX OF CROWS,Leigh Bardugo,5
1,DO UNTO ANIMALS,Tracey Stewart,0
2,ANIMAL WISE,Virginia Morell,0
3,THE HORSE,Wendy Williams,0
4,BEYOND WORDS,Carl Safina,0
5,THE DOGIST,Elias Weiss Friedman,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,M TRAIN,Patti Smith,0
4,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
5,FURIOUSLY HAPPY,Jenny Lawson,0
1,THE SWORD OF SUMMER,Rick Riordan,5
2,WONDER,RJ Palacio,13
3,AUGGIE & ME,RJ Palacio,12
4,THE ISLE OF THE LOST,Melissa de la Cruz,12
5,CRENSHAW,Katherine Applegate,7
1,THE CROSSING,Michael Connelly,1
2,STARS OF FORTUNE,Nora Roberts,1
3,THE BAZAAR OF BAD DREAMS,Stephen King,1
4,ROGUE LAWYER,John Grisham,3
5,THE MARTIAN,Andy Weir,24
1,TROUBLEMAKER,Leah Remini and Rebecca Paley,1
2,KILLING REAGAN,Bill O'Reilly and Martin Dugard,7
3,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,1
4,CRIPPLED AMERICA,Donald J Trump,1
5,A MORE PERFECT UNION,Ben Carson with Candy Carson,5
1,THE DEVIL IN THE WHITE CITY,Erik Larson,0
2,NOTORIOUS RBG,Irin Carmon and Shana Knizhnik,0
3,BLACK MASS,Dick Lehr and Gerald O'Neill,0
4,JUST MERCY,Bryan Stevenson,0
5,WORKING STIFF,Judy Melinek and T J Mitchell,0
1,M TRAIN,Patti Smith,0
2,MY LIFE ON THE ROAD,Gloria Steinem,0
3,THE ART OF MEMOIR,Mary Karr,0
4,THE RAP YEAR BOOK,Shea Serrano and Arturo Torres,0
5,RECLAIMING CONVERSATION,Sherry Turkle,0
1,THE CROSSING,Michael Connelly,1
2,STARS OF FORTUNE,Nora Roberts,1
3,ROGUE LAWYER,John Grisham,3
4,THE BAZAAR OF BAD DREAMS,Stephen King,1
5,SEE ME,Nicholas Sparks,4
1,TROUBLEMAKER,Leah Remini and Rebecca Paley,1
2,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,1
3,KILLING REAGAN,Bill O'Reilly and Martin Dugard,7
4,BRIDGE OF SPIES,Giles Whittell,2
5,CRIPPLED AMERICA,Donald J Trump,1
1,I AM MALALA,Malala Yousafzai with Christina Lamb,0
2,HOW TO RAISE AN ADULT,Julie Lythcott-Haims,0
3,THE ORGANIZED MIND,Daniel J Levitin,0
4,FIND ME UNAFRAID,Kennedy Odede and Jessica Posner,0
5,BEYOND MEASURE,Vicki Abeles,0
1,BLACK MASS,Dick Lehr and Gerald O'Neill,0
2,100 DEADLY SKILLS,Clint Emerson,0
3,BRIDGE OF SPIES,Giles Whittell,0
4,THE DEVIL'S CHESSBOARD,David Talbot,0
1,THE WRIGHT BROTHERS,David McCullough,0
2,DEAD WAKE,Erik Larson,0
3,INTO THIN AIR,Jon Krakauer,0
4,INTO THE WILD,Jon Krakauer,0
5,THE INVENTION OF NATURE,Andrea Wulf,0
1,ROSEMARY,Kate Clifford Larson,0
2,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,0
3,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK,Adele Faber and Elaine Mazlish,0
4,GO THE -- TO SLEEP,Adam Mansbach,0
5,THE FIVE LOVE LANGUAGES OF CHILDREN,Gary D Chapman and Ross Campbell,0
1,I'LL NEVER WRITE MY MEMOIRS,Grace Jones as told to Paul Morley,0
2,STYLED,Emily Henderson and Angelin Borsics,0
3,FACE PAINT,Lisa Eldridge,0
4,POLISH YOUR POISE WITH MADAME CHIC,Jennifer L Scott,0
5,HOME,Ellen DeGeneres,0
1,THE PIONEER WOMAN COOKS: DINNERTIME,Ree Drummond,0
2,THE 20/20 DIET,Phil McGraw,0
3,THE WHOLE30,Melissa Hartwig and Dallas Hartwig,0
4,THE FOOD LAB,J Kenji Lopez-Alt,0
5,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
1,SECRET GARDEN,Johanna Basford,0
2,ENCHANTED FOREST,Johanna Basford,0
3,LOST OCEAN,Johanna Basford,0
4,CREATIVE HAVEN CREATIVE CATS COLORING BOOK,Marjorie Sarnat,0
5,THE OFFICIAL A GAME OF THRONES COLORING BOOK,various illustrators,0
1,THE BAZAAR OF BAD DREAMS,Stephen King,1
2,THE CROSSING,Michael Connelly,1
3,ROGUE LAWYER,John Grisham,3
4,SEE ME,Nicholas Sparks,4
5,AVENUE OF MYSTERIES,John Irving,1
1,AMAZING FANTASTIC INCREDIBLE,"Stan Lee, Peter David and Colleen Doran",1
2,HE–MAN AND THE MASTERS OF THE UNIVERSE MINICOMIC COLLECTION,Various,1
3,"FABLES: DELUXE EDITION, BOOK 11","Bill Willingham, Mark Buckingham and others",1
4,KILLING AND DYING,Adrian Tomine,5
5,"STEP ASIDE, POPS",Kate Beaton,8
1,TROUBLEMAKER,Leah Remini and Rebecca Paley,1
2,KILLING REAGAN,Bill O'Reilly and Martin Dugard,7
3,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,1
4,A MORE PERFECT UNION,Ben Carson with Candy Carson,5
5,CRIPPLED AMERICA,Donald J Trump,1
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,0
2,A MORE PERFECT UNION,Ben Carson with Candy Carson,0
3,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
4,I AM MALALA,Malala Yousafzai with Christina Lamb,0
5,THE COURAGE TO ACT,Ben S Bernanke,0
1,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
2,FURIOUSLY HAPPY,Jenny Lawson,0
3,BEING MORTAL,Atul Gawande,0
4,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
5,THE BRAIN FOG FIX,Mike Dow,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,FURIOUSLY HAPPY,Jenny Lawson,0
4,YES PLEASE,Amy Poehler,0
5,SELP-HELF,Miranda Sings,0
1,BURY MY HEART AT WOUNDED KNEE,Dee Brown,0
2,THE HEART OF EVERYTHING THAT IS,Bob Drury and Tom Clavin,0
3,EMPIRE OF THE SUMMER MOON,SC Gwynne,0
4,BORN TO RUN,Christopher McDougall,0
5,CRAZY HORSE AND CUSTER,Stephen Ambrose,0
1,"ONE-PUNCH MAN, VOL. 3",ONE and Yusuke Murata,1
2,"JOJO’S BIZARRE ADVENTURE: BATTLE TENDENCY, VOL. 1",Hirohiko Araki,1
3,"MY HERO ACADEMIA, VOL. 2",Kohei Horikoshi,1
4,"TOKYO GHOUL, VOL. 3",Sui Ishida,3
5,"BLEACH, VOL. 65",Tite Kubo,1
1,THE BURNING ROOM,Michael Connelly,2
2,THE MARTIAN,Andy Weir,12
3,GRAY MOUNTAIN,John Grisham,12
4,HAVANA STORM,Clive Cussler,1
5,WISHES FOR CHRISTMAS,Fern Michaels,2
1,"THE WALKING DEAD COMPENDIUM, VOL. 3",Robert Kirkman and Charlie Adlard,4
2,STAR WARS: PRINCESS LEIA,Mark Waid and Terry Dodson,1
3,"THE WALKING DEAD COMPENDIUM, VOL. 1",Robert Kirkman and others,158
4,DRAMA,Raina Telgemeier,119
5,SMILE,Raina Telgemeier,178
1,THE BOYS IN THE BOAT,Daniel James Brown,76
2,I AM MALALA,Malala Yousafzai with Christina Lamb,23
3,YES PLEASE,Amy Poehler,10
4,THE DEVIL IN THE WHITE CITY,Erik Larson,308
5,JUST MERCY,Bryan Stevenson,7
1,THE LITTLE SNOWPLOW,Lora Koehler,1
2,THE DAY THE CRAYONS CAME HOME,Drew Daywalt,12
3,THE DAY THE CRAYONS QUIT,Drew Daywalt,124
4,WHAT PET SHOULD I GET?,Dr Seuss,15
5,THE BOOK WITH NO PICTURES,BJ Novak,58
1,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
2,JUST MERCY,Bryan Stevenson,0
3,THE NEW JIM CROW,Michelle Alexander,0
4,THE OTHER WES MOORE,Wes Moore,0
5,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE,Jeff Hobbs,0
1,WHY NOT ME?,Mindy Kaling,0
2,THE FIVE LOVE LANGUAGES,Gary Chapman,0
3,MODERN ROMANCE,Aziz Ansari with Eric Klinenberg,0
4,DARING GREATLY,Brené Brown,0
5,F*CK FEELINGS,Michael I Bennett and Sarah Bennett,0
1,THE POWER OF I AM,Joel Osteen,0
2,THE WITCHES,Stacy Schiff,0
3,FERVENT,Priscilla Shirer,0
4,THE FOUR AGREEMENTS,Don Miguel Ruiz,0
5,FOR THE LOVE,Jen Hatmaker,0
1,DIARY OF A WIMPY KID,Jeff Kinney,347
2,DORK DIARIES,Rachel Renée Russell,141
3,HARRY POTTER,JK Rowling,346
4,RUSH REVERE,Rush Limbaugh with Kathryn Adams Limbaugh,12
5,MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,7
1,STARS OF FORTUNE,Nora Roberts,1
2,THE MARTIAN,Andy Weir,54
3,THE ALCHEMIST,Paulo Coelho,379
4,A BRIEF HISTORY OF SEVEN KILLINGS,Marlon James,4
5,"MERRY CHRISTMAS, ALEX CROSS",James Patterson,1
1,HUMANS OF NEW YORK: STORIES,Brandon Stanton,0
2,A WALK IN THE WOODS,Bill Bryson,0
3,DEEP SOUTH,Paul Theroux,0
4,WILD,Cheryl Strayed,0
5,MY SOUTHERN JOURNEY,Rick Bragg,0
1,THE AMAZING BOOK IS NOT ON FIRE,Dan Howell and Phil Lester,4
2,CARRY ON,Rainbow Rowell,5
3,TRAFFICK,Ellen Hopkins,1
4,"EVERYTHING, EVERYTHING",Nicola Yoon,9
5,SIX OF CROWS,Leigh Bardugo,6
1,DO UNTO ANIMALS,Tracey Stewart,0
2,ANIMAL WISE,Virginia Morell,0
3,THE HORSE,Wendy Williams,0
4,BEYOND WORDS,Carl Safina,0
5,THE DOGIST,Elias Weiss Friedman,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,M TRAIN,Patti Smith,0
4,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
5,FURIOUSLY HAPPY,Jenny Lawson,0
1,THE SWORD OF SUMMER,Rick Riordan,6
2,WONDER,RJ Palacio,14
3,AUGGIE & ME,RJ Palacio,13
4,THE ISLE OF THE LOST,Melissa de la Cruz,13
5,CRENSHAW,Katherine Applegate,8
1,ROGUE LAWYER,John Grisham,4
2,THE CROSSING,Michael Connelly,2
4,CRIMSON SHORE,Douglas Preston and Lincoln Child,1
5,THE MARTIAN,Andy Weir,25
1,TROUBLEMAKER,Leah Remini and Rebecca Paley,2
2,DESTINY AND POWER,Jon Meacham,1
3,KILLING REAGAN,Bill O'Reilly and Martin Dugard,8
4,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,2
5,ALEXANDER HAMILTON,Ron Chernow,1
1,THE DEVIL IN THE WHITE CITY,Erik Larson,0
2,NOTORIOUS RBG,Irin Carmon and Shana Knizhnik,0
3,BLACK MASS,Dick Lehr and Gerald O'Neill,0
4,JUST MERCY,Bryan Stevenson,0
5,WORKING STIFF,Judy Melinek and T J Mitchell,0
1,M TRAIN,Patti Smith,0
2,MY LIFE ON THE ROAD,Gloria Steinem,0
3,THE ART OF MEMOIR,Mary Karr,0
4,THE RAP YEAR BOOK,Shea Serrano and Arturo Torres,0
5,RECLAIMING CONVERSATION,Sherry Turkle,0
2,ROGUE LAWYER,John Grisham,4
3,CRIMSON SHORE,Douglas Preston and Lincoln Child,1
4,THE CROSSING,Michael Connelly,2
5,NOVEMBER 9,Colleen Hoover,1
1,TROUBLEMAKER,Leah Remini and Rebecca Paley,2
2,DESTINY AND POWER,Jon Meacham,1
3,CLARA'S WAR,Clara Kramer and Stephen Glantz,1
4,ALEXANDER HAMILTON,Ron Chernow,1
5,KILLING REAGAN,Bill O'Reilly and Martin Dugard,8
1,I AM MALALA,Malala Yousafzai with Christina Lamb,0
2,HOW TO RAISE AN ADULT,Julie Lythcott-Haims,0
3,THE ORGANIZED MIND,Daniel J Levitin,0
4,FIND ME UNAFRAID,Kennedy Odede and Jessica Posner,0
5,BEYOND MEASURE,Vicki Abeles,0
1,BLACK MASS,Dick Lehr and Gerald O'Neill,0
2,100 DEADLY SKILLS,Clint Emerson,0
3,BRIDGE OF SPIES,Giles Whittell,0
4,THE DEVIL'S CHESSBOARD,David Talbot,0
1,THE WRIGHT BROTHERS,David McCullough,0
2,DEAD WAKE,Erik Larson,0
3,INTO THIN AIR,Jon Krakauer,0
4,INTO THE WILD,Jon Krakauer,0
5,THE INVENTION OF NATURE,Andrea Wulf,0
1,ROSEMARY,Kate Clifford Larson,0
2,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,0
3,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK,Adele Faber and Elaine Mazlish,0
4,GO THE -- TO SLEEP,Adam Mansbach,0
5,THE FIVE LOVE LANGUAGES OF CHILDREN,Gary D Chapman and Ross Campbell,0
1,I'LL NEVER WRITE MY MEMOIRS,Grace Jones as told to Paul Morley,0
2,STYLED,Emily Henderson and Angelin Borsics,0
3,FACE PAINT,Lisa Eldridge,0
4,POLISH YOUR POISE WITH MADAME CHIC,Jennifer L Scott,0
5,HOME,Ellen DeGeneres,0
1,THE PIONEER WOMAN COOKS: DINNERTIME,Ree Drummond,0
2,THE 20/20 DIET,Phil McGraw,0
3,THE WHOLE30,Melissa Hartwig and Dallas Hartwig,0
4,THE FOOD LAB,J Kenji Lopez-Alt,0
5,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
1,SECRET GARDEN,Johanna Basford,0
2,ENCHANTED FOREST,Johanna Basford,0
3,LOST OCEAN,Johanna Basford,0
4,CREATIVE HAVEN CREATIVE CATS COLORING BOOK,Marjorie Sarnat,0
5,THE OFFICIAL A GAME OF THRONES COLORING BOOK,various illustrators,0
1,ROGUE LAWYER,John Grisham,4
2,THE BAZAAR OF BAD DREAMS,Stephen King,2
3,THE CROSSING,Michael Connelly,2
4,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,1
5,SEE ME,Nicholas Sparks,5
1,THE SANDMAN,Neil Gaiman and Dirk Maggs,1
2,AMAZING FANTASTIC INCREDIBLE,"Stan Lee, Peter David and Colleen Doran",2
3,KILLING AND DYING,Adrian Tomine,6
4,"STEP ASIDE, POPS",Kate Beaton,9
5,THE BEST AMERICAN COMICS 2015,edited  Jonathan Lethem,6
1,DESTINY AND POWER,Jon Meacham,1
2,THOMAS JEFFERSON AND THE TRIPOLI PIRATES,Brian Kilmeade and Don Yaeger,2
3,KILLING REAGAN,Bill O'Reilly and Martin Dugard,8
4,TROUBLEMAKER,Leah Remini and Rebecca Paley,2
5,THE WITCHES,Stacy Schiff,3
1,KILLING REAGAN,Bill O'Reilly and Martin Dugard,0
2,A MORE PERFECT UNION,Ben Carson with Candy Carson,0
3,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,0
4,I AM MALALA,Malala Yousafzai with Christina Lamb,0
5,THE COURAGE TO ACT,Ben S Bernanke,0
1,A COMMON STRUGGLE,Patrick J Kennedy and Stephen Fried,0
2,FURIOUSLY HAPPY,Jenny Lawson,0
3,BEING MORTAL,Atul Gawande,0
4,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,0
5,THE BRAIN FOG FIX,Mike Dow,0
1,WHY NOT ME?,Mindy Kaling,0
2,BINGE,Tyler Oakley,0
3,FURIOUSLY HAPPY,Jenny Lawson,0
4,YES PLEASE,Amy Poehler,0
5,SELP-HELF,Miranda Sings,0
1,BURY MY HEART AT WOUNDED KNEE,Dee Brown,0
2,THE HEART OF EVERYTHING THAT IS,Bob Drury and Tom Clavin,0
3,EMPIRE OF THE SUMMER MOON,SC Gwynne,0
4,BORN TO RUN,Christopher McDougall,0
5,CRAZY HORSE AND CUSTER,Stephen Ambrose,0
1,"TOKYO GHOUL, VOL. 1",Sui Ishida,22
2,"ONE PIECE, VOL. 76",Eiichiro Oda,1
3,"ONE-PUNCH MAN, VOL. 1",ONE and Yusuke Murata,11
4,"TOKYO GHOUL, VOL. 3",Sui Ishida,4
5,"ONE-PUNCH MAN, VOL. 2",ONE and Yusuke Murata,6
