title,author
FOOD RULES,"Michael Pollan,"
FLAT BELLY DIET!,Liz Vaccariello and Cynthia Sass
"START OVER, FINISH RICH",David Bach
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
THE COUPON MOM'S GUIDE TO CUTTING YOUR GROCERY BILLS IN HALF,Stephanie Nelson
"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike
THE BOOK THIEF,Markus Zusak
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
THIRST NO. 1,Christopher Pike
L.A. CANDY,Lauren Conrad
"THE WALKING DEAD, VOL. 11",Robert Kirkman and Charlie Adlard
WATCHMEN,Alan Moore and Dave Gibbons
THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks
"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore
V FOR VENDETTA,Alan Moore and David Lloyd
THE BLIND SIDE,Michael Lewis
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
"EAT, PRAY, LOVE",Elizabeth Gilbert
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler
I HOPE THEY SERVE BEER IN HELL,Tucker Max
LEGO STAR WARS,Simon Beecroft
WADDLE!,Rufus Butler Seder
"SKIPPYJON JONES, LOST IN SPICE",Judy Schachner
GALLOP!,Rufus Butler Seder
THE LION AND THE MOUSE,Jerry Pinkney
THE TWILIGHT SAGA,Stephenie Meyer
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
DIARY OF A WIMPY KID,Jeff Kinney
HOUSE OF NIGHT,PC Cast and Kristin Cast
RANGER’S APPRENTICE,John Flanagan
THE LOVELY BONES,Alice Sebold
A RELIABLE WIFE,Robert Goolrick
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
PUSH,Sapphire
OLIVE KITTERIDGE,Elizabeth Strout
WITCH AND WIZARD,James Patterson and Gabrielle Charbonnet
CATCHING FIRE,Suzanne Collins
THE HUNGER GAMES,Suzanne Collins
FALLEN,Lauren Kate
BEAUTIFUL CREATURES,Kami Garcia and Margaret Stohl
THE MAYO CLINIC DIET,the Mayo Clinic staff
THE HAPPINESS PROJECT,Gretchen Rubin
YOU: THE OWNER’S MANUAL FOR TEENS,"Michael F Roizen, Mehmet C Oz and Ellen Rome"
THE FULL PLATE DIET,"Stuart A Seale, Teresa Sherard and Diana Fleming"
"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle"
THE HELP,Kathryn Stockett
THE FIRST RULE,Robert Crais
THE LOST SYMBOL,Dan Brown
THE SWAN THIEVES,Elizabeth Kostova
THE LAST SONG,Nicholas Sparks
THE BOOK OF GENESIS: ILLUSTRATED,R Crumb
BATMAN: BATTLE FOR THE COWL,Tony Daniel
THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young
WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven
THE STAND: CAPTAIN TRIPS,Roberto Aguirre-Sacasa and Mike Perkins
GAME CHANGE,John Heilemann and Mark Halperin
COMMITTED,Elizabeth Gilbert
HAVE A LITTLE FAITH,Mitch Albom
GOING ROGUE,Sarah Palin
STONES INTO SCHOOLS,Greg Mortenson
"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi
NARUTO 46,Masashi Kishimoto
"VAMPIRE KNIGHT, VOL. 8",Matsuri Hino
"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa
"MAXIMUM RIDE, VOL. 2",James Patterson and NaRae Lee
DEAR JOHN,Nicholas Sparks
THE LOVELY BONES,Alice Sebold
THE DEVIL’S PUNCHBOWL,Greg Iles
PLUM SPOOKY,Janet Evanovich
STREET GAME,Christine Feehan
FOOD RULES,"Michael Pollan,"
WOMEN AND MONEY,Suze Orman
FLAT BELLY DIET!,Liz Vaccariello and Cynthia Sass
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
THE LOVE DARE,Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough
THE BOOK THIEF,Markus Zusak
"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie
L.A. CANDY,Lauren Conrad
WATCHMEN,Alan Moore and Dave Gibbons
THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks
"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman
"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore
"CHEW, VOL. 1",John Layman and Rob Guillory
THE BLIND SIDE,Michael Lewis
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
"EAT, PRAY, LOVE",Elizabeth Gilbert
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler
THE GLASS CASTLE,Jeannette Walls
LEGO STAR WARS,Simon Beecroft
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth
FAMILY HUDDLE,"written  Peyton Manning, Eli Manning and Archie Manning   Jim Madsen"
THE LION AND THE MOUSE,Jerry Pinkney
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
THE TWILIGHT SAGA,Stephenie Meyer
DIARY OF A WIMPY KID,Jeff Kinney
HOUSE OF NIGHT,PC Cast and Kristin Cast
MAGIC TREE HOUSE,Mary Pope Osborne
A RELIABLE WIFE,Robert Goolrick
THE LOVELY BONES,Alice Sebold
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
DEAR JOHN,Nicholas Sparks
TRUE COLORS,Kristin Hannah
CATCHING FIRE,Suzanne Collins
THE HUNGER GAMES,Suzanne Collins
PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE),Mary-Jane Knight Designed  Philip Chidlow
FALLEN,Lauren Kate
WHEN YOU REACH ME,Rebecca Stead
THE HAPPINESS PROJECT,Gretchen Rubin
"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle"
THE MAYO CLINIC DIET,the Mayo Clinic staff
THE FULL PLATE DIET,"Stuart A Seale, Teresa Sherard and Diana Fleming"
MASTER YOUR METABOLISM,Jillian Michaels with Mariska van Aalst
THE HELP,Kathryn Stockett
KISSER,Stuart Woods
THE LOST SYMBOL,Dan Brown
THE BURNING LAND,Bernard Cornwell
THE FIRST RULE,Robert Crais
THE BOOK OF GENESIS: ILLUSTRATED,R Crumb
BATMAN: BATTLE FOR THE COWL,Tony Daniel
THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young
WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
GAME CHANGE,John Heilemann and Mark Halperin
COMMITTED,Elizabeth Gilbert
STONES INTO SCHOOLS,Greg Mortenson
HAVE A LITTLE FAITH,Mitch Albom
GOING ROGUE,Sarah Palin
"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa
"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi
NARUTO 46,Masashi Kishimoto
"VAMPIRE KNIGHT, VOL. 1",Matsuri Hino
"MAXIMUM RIDE, VOL. 1",James Patterson and NaRae Lee
DEAR JOHN,Nicholas Sparks
THE LOVELY BONES,Alice Sebold
THE DEVIL’S PUNCHBOWL,Greg Iles
PLUM SPOOKY,Janet Evanovich
THE TRUTH ABOUT LORD STONEVILLE,Sabrina Jeffries
FOOD RULES,"Michael Pollan,"
THE BELLY FAT CURE,Jorge Cruise
"COOK THIS, NOT THAT!",David Zinczenko and Matt Goulding
WOMEN AND MONEY,Suze Orman
WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel
THE BOOK THIEF,Markus Zusak
"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER",Christopher Pike
L.A. CANDY,Lauren Conrad
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie
"THE WALKING DEAD, VOL. 11",Robert Kirkman and Charlie Adlard
"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman
SERENITY: BETTER DAYS,Joss Whedon and others
THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks
WATCHMEN,Alan Moore and Dave Gibbons
THE BLIND SIDE,Michael Lewis
THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin
THE GLASS CASTLE,Jeannette Walls
"EAT, PRAY, LOVE",Elizabeth Gilbert
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler
THE LION AND THE MOUSE,Jerry Pinkney
ALL THE WORLD,Liz Garton Scanlon
LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA,Greg Mortenson and Susan L Roth
BUBBLE TROUBLE,Margaret Mahy
THE CURIOUS GARDEN,Peter Brown
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
THE TWILIGHT SAGA,Stephenie Meyer
DIARY OF A WIMPY KID,Jeff Kinney
HOUSE OF NIGHT,PC Cast and Kristin Cast
PRETTY LITTLE LIARS,Sara Shepard
THE LOVELY BONES,Alice Sebold
A RELIABLE WIFE,Robert Goolrick
DEAR JOHN,Nicholas Sparks
THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson
PUSH,Sapphire
THE HUNGER GAMES,Suzanne Collins
CATCHING FIRE,Suzanne Collins
FALLEN,Lauren Kate
PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE),Mary-Jane Knight Designed  Philip Chidlow
WHEN YOU REACH ME,Rebecca Stead
THE KIND DIET,Alicia Silverstone
THE HAPPINESS PROJECT,Gretchen Rubin
"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle"
THE MAYO CLINIC DIET,the Mayo Clinic staff
"ACT LIKE A LADY, THINK LIKE A MAN",Steve Harvey with Denene Millner
THE HELP,Kathryn Stockett
THE LOST SYMBOL,Dan Brown
KISSER,Stuart Woods
BLOOD TIES,Kay Hooper
THE FIRST RULE,Robert Crais
THE BOOK OF GENESIS: ILLUSTRATED,R Crumb
THE STAND: AMERICAN NIGHTMARES,Roberto Aguirre-Sacasa and Mike Perkins
BATMAN: BATTLE FOR THE COWL,Tony Daniel
THE STAND: CAPTAIN TRIPS,Roberto Aguirre-Sacasa and Mike Perkins
WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven
GAME CHANGE,John Heilemann and Mark Halperin
I AM OZZY,Ozzy Osbourne with Chris Ayres
THE POLITICIAN,Andrew Young
COMMITTED,Elizabeth Gilbert
HAVE A LITTLE FAITH,Mitch Albom
"BLACK BUTLER, VOL. 1",Yana Toboso
"TSUBASA: RESERVOIR CHRONICLE, VOL. 25",Clamp
